CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
40,Male,1,67,52.68,3529.56,One year,Electronic check,0
41,Male,0,46,27.39,1259.94,Month-to-month,Bank transfer,1
42,Female,0,43,108.59,4669.37,Two year,Bank transfer,0
43,Female,0,59,37.45,2209.55,Two year,Bank transfer,0
44,Female,1,46,83.0,3818.0,One year,Bank transfer,0
45,Female,0,35,84.4,2954.0,Month-to-month,Bank transfer,1
46,Female,1,39,48.12,1876.68,One year,Credit card,0
47,Male,1,51,118.57,6047.07,One year,Bank transfer,0
48,Female,1,4,26.42,105.68,Month-to-month,Credit card,1
49,Female,1,51,80.79,4120.29,Two year,Bank transfer,0
50,Male,1,5,67.95,339.75,Two year,Bank transfer,1
51,Female,0,55,44.55,2450.25,One year,Bank transfer,1
52,Male,1,20,36.36,727.2,Two year,Bank transfer,0
53,Female,1,24,93.71,2249.04,Month-to-month,Credit card,0
54,Male,0,36,111.63,4018.68,Two year,Electronic check,0
55,Female,1,34,30.75,1045.5,Two year,Mailed check,1
56,Female,1,54,39.4,2127.6,One year,Credit card,0
57,Male,0,34,118.63,4033.42,Two year,Credit card,1
58,Male,0,17,21.5,365.5,Month-to-month,Credit card,0
59,Male,0,5,70.83,354.15,One year,Electronic check,0
60,Male,1,18,71.61,1288.98,Month-to-month,Mailed check,0
61,Male,0,55,46.32,2547.6,Two year,Electronic check,0
62,Male,0,53,86.3,4573.9,Two year,Mailed check,0
63,Male,0,50,114.49,5724.5,One year,Mailed check,0
64,Male,1,45,65.02,2925.9,Month-to-month,Mailed check,0
65,Female,0,13,94.94,1234.22,Two year,Electronic check,0
66,Female,1,16,84.61,1353.76,Two year,Mailed check,0
67,Male,1,13,67.29,874.77,One year,Bank transfer,0
68,Female,0,20,24.98,499.6,Two year,Credit card,0
69,Female,1,66,94.17,6215.22,Two year,Mailed check,0
70,Female,1,47,56.33,2647.51,Two year,Credit card,1
71,Female,0,19,42.45,806.55,Month-to-month,Electronic check,0
72,Male,1,45,114.83,5167.35,Month-to-month,Electronic check,1
73,Female,0,37,97.35,3601.95,Month-to-month,Bank transfer,0
74,Male,1,54,116.23,6276.42,Two year,Mailed check,1
75,Female,1,6,45.62,273.72,One year,Credit card,0
76,Female,0,14,103.58,1450.12,One year,Credit card,0
77,Female,0,4,80.77,323.08,One year,Credit card,0
78,Male,1,55,118.15,6498.25,Month-to-month,Electronic check,0
79,Female,1,34,114.63,3897.42,Month-to-month,Mailed check,0
80,Male,0,27,117.3,3167.1,Month-to-month,Bank transfer,0
81,Female,1,7,115.18,806.26,Month-to-month,Bank transfer,0
82,Male,1,3,20.77,62.31,Two year,Electronic check,0
83,Female,1,47,94.11,4423.17,One year,Mailed check,0
84,Male,1,2,47.19,94.38,One year,Bank transfer,0
85,Male,0,25,90.5,2262.5,Month-to-month,Bank transfer,0
86,Female,0,60,118.06,7083.6,One year,Electronic check,0
87,Male,0,24,23.94,574.56,One year,Credit card,0
88,Female,0,15,76.7,1150.5,Month-to-month,Bank transfer,0
89,Female,0,14,93.5,1309.0,Month-to-month,Electronic check,0
90,Female,0,54,45.34,2448.36,Month-to-month,Bank transfer,0
91,Female,1,6,42.51,255.06,Month-to-month,Bank transfer,0
92,Female,0,18,26.03,468.54,Two year,Electronic check,0
93,Female,1,20,29.39,587.8,One year,Electronic check,1
94,Female,1,62,85.67,5311.54,Two year,Mailed check,1
95,Female,1,40,70.52,2820.8,One year,Bank transfer,0
96,Female,0,39,23.01,897.39,Two year,Credit card,0
97,Female,1,52,116.97,6082.44,Month-to-month,Credit card,0
98,Female,0,32,85.6,2739.2,Two year,Mailed check,0
99,Male,1,27,71.55,1931.85,Month-to-month,Mailed check,0
100,Male,1,52,47.27,2458.04,Month-to-month,Electronic check,0
101,Female,0,63,85.81,5406.03,Two year,Credit card,0
102,Female,1,63,56.42,3554.46,One year,Bank transfer,1
103,Female,1,17,90.25,1534.25,Two year,Electronic check,1
104,Female,1,49,88.26,4324.74,Month-to-month,Bank transfer,1
105,Female,1,23,29.27,673.21,Month-to-month,Credit card,0
106,Female,0,13,110.93,1442.09,One year,Electronic check,1
107,Female,1,23,68.7,1580.1,One year,Bank transfer,0
108,Female,1,57,59.29,3379.53,One year,Mailed check,0
109,Male,0,62,115.55,7164.1,Month-to-month,Bank transfer,1
110,Female,1,54,63.82,3446.28,Two year,Bank transfer,1
111,Male,1,20,92.12,1842.4,One year,Electronic check,0
112,Female,1,52,85.51,4446.52,Month-to-month,Credit card,0
113,Female,1,23,36.51,839.73,Two year,Bank transfer,0
114,Male,0,35,119.11,4168.85,One year,Bank transfer,0
115,Female,1,67,66.36,4446.12,Two year,Bank transfer,1
116,Male,0,34,59.48,2022.32,Two year,Bank transfer,0
117,Female,1,33,111.96,3694.68,Month-to-month,Mailed check,0
118,Female,1,46,72.92,3354.32,Month-to-month,Credit card,0
119,Male,1,45,90.51,4072.95,Month-to-month,Credit card,0
120,Female,0,19,104.62,1987.78,Two year,Electronic check,1
121,Male,1,15,43.55,653.25,One year,Bank transfer,0
122,Female,1,66,36.95,2438.7,One year,Electronic check,0
123,Male,0,39,26.85,1047.15,One year,Mailed check,1
124,Male,0,18,109.71,1974.78,Month-to-month,Mailed check,0
125,Female,0,70,40.04,2802.8,One year,Bank transfer,1
126,Female,0,59,50.78,2996.02,One year,Electronic check,1
127,Male,1,32,48.58,1554.56,Month-to-month,Electronic check,0
128,Female,1,21,50.46,1059.66,One year,Credit card,0
129,Female,1,40,86.81,3472.4,One year,Electronic check,0
130,Female,1,27,115.41,3116.07,One year,Mailed check,0
131,Male,0,2,52.95,105.9,Two year,Mailed check,0
132,Male,1,39,60.76,2369.64,Two year,Bank transfer,0
133,Male,1,56,97.11,5438.16,Month-to-month,Electronic check,0
134,Male,1,13,63.23,821.99,Month-to-month,Electronic check,0
135,Male,1,56,112.6,6305.6,Two year,Mailed check,0
136,Male,0,66,70.32,4641.12,Month-to-month,Bank transfer,0
137,Male,1,56,54.77,3067.12,Month-to-month,Credit card,0
138,Male,1,28,117.16,3280.48,One year,Credit card,0
139,Male,1,64,62.58,4005.12,Month-to-month,Bank transfer,0
140,Female,0,71,43.12,3061.52,Month-to-month,Bank transfer,1
141,Male,0,64,37.77,2417.28,One year,Credit card,0
142,Female,1,56,119.52,6693.12,One year,Mailed check,1
143,Female,1,41,95.3,3907.3,Two year,Electronic check,0
144,Female,1,41,60.87,2495.67,Month-to-month,Credit card,0
145,Male,0,4,102.64,410.56,One year,Bank transfer,1
146,Male,1,57,74.68,4256.76,Month-to-month,Bank transfer,0
147,Male,1,30,51.74,1552.2,Month-to-month,Electronic check,0
148,Male,1,46,94.34,4339.64,Two year,Bank transfer,0
149,Female,0,56,94.59,5297.04,Two year,Mailed check,0
150,Male,1,31,70.02,2170.62,Two year,Bank transfer,0
151,Male,1,7,24.52,171.64,Two year,Electronic check,0
152,Male,0,54,27.7,1495.8,Two year,Credit card,0
153,Male,0,8,98.87,790.96,One year,Mailed check,1
154,Male,1,55,102.35,5629.25,Two year,Bank transfer,1
155,Female,0,69,87.83,6060.27,One year,Electronic check,0
156,Male,1,44,103.91,4572.04,Two year,Credit card,1
157,Female,0,13,91.95,1195.35,One year,Credit card,0
158,Male,0,20,109.69,2193.8,Month-to-month,Electronic check,0
159,Female,1,32,35.04,1121.28,Two year,Credit card,1
160,Male,1,60,58.77,3526.2,One year,Credit card,0
161,Male,1,50,66.41,3320.5,Two year,Credit card,0
162,Female,0,27,49.77,1343.79,One year,Credit card,0
163,Female,1,25,92.54,2313.5,One year,Electronic check,0
164,Female,1,52,111.24,5784.48,Two year,Electronic check,0
165,Male,1,68,61.25,4165.0,One year,Bank transfer,1
166,Female,1,21,114.15,2397.15,Month-to-month,Bank transfer,0
167,Male,1,18,71.68,1290.24,Two year,Mailed check,0
168,Male,0,39,72.25,2817.75,Month-to-month,Credit card,0
169,Female,1,15,80.02,1200.3,One year,Credit card,1
170,Female,1,53,46.83,2481.99,One year,Mailed check,0
171,Male,0,38,58.34,2216.92,Two year,Electronic check,0
172,Male,1,48,75.32,3615.36,Month-to-month,Electronic check,1
173,Female,1,52,114.2,5938.4,Month-to-month,Mailed check,0
174,Female,1,28,84.27,2359.56,Two year,Bank transfer,0
175,Female,1,16,53.31,852.96,Month-to-month,Bank transfer,0
176,Male,1,16,21.05,336.8,Two year,Credit card,0
177,Male,0,35,118.17,4135.95,Two year,Bank transfer,0
178,Male,0,17,69.3,1178.1,One year,Electronic check,0
179,Male,0,52,113.85,5920.2,One year,Mailed check,0
180,Male,1,12,74.93,899.16,Month-to-month,Mailed check,1
181,Male,0,48,80.55,3866.4,Two year,Mailed check,0
182,Female,1,22,91.19,2006.18,Two year,Bank transfer,0
183,Male,1,49,52.1,2552.9,Two year,Mailed check,1
184,Male,1,52,89.9,4674.8,Two year,Mailed check,0
185,Male,0,1,72.68,72.68,One year,Bank transfer,0
186,Female,0,66,87.25,5758.5,Month-to-month,Electronic check,0
187,Male,0,64,103.58,6629.12,One year,Credit card,0
188,Male,1,8,38.42,307.36,Two year,Electronic check,0
189,Female,0,25,81.36,2034.0,Month-to-month,Bank transfer,0
190,Male,1,66,25.21,1663.86,Month-to-month,Mailed check,1
191,Male,0,70,30.21,2114.7,Two year,Credit card,0
192,Male,0,51,87.46,4460.46,Two year,Electronic check,0
193,Male,1,53,27.09,1435.77,One year,Credit card,0
194,Male,1,15,79.54,1193.1,One year,Electronic check,1
195,Female,0,50,42.0,2100.0,Two year,Electronic check,0
196,Female,0,71,50.41,3579.11,Two year,Bank transfer,1
197,Female,0,38,32.96,1252.48,One year,Electronic check,0
198,Male,1,40,44.87,1794.8,Month-to-month,Mailed check,0
199,Male,1,66,102.13,6740.58,Month-to-month,Bank transfer,0
200,Male,0,39,83.89,3271.71,Month-to-month,Credit card,0
201,Female,0,17,114.98,1954.66,One year,Bank transfer,0
202,Male,1,7,24.87,174.09,Two year,Electronic check,0
203,Male,0,39,99.24,3870.36,Month-to-month,Credit card,1
204,Female,1,68,89.91,6113.88,Two year,Mailed check,1
205,Male,1,35,46.09,1613.15,One year,Bank transfer,0
206,Female,1,51,92.92,4738.92,One year,Electronic check,1
207,Female,1,47,91.65,4307.55,Two year,Credit card,0
208,Female,1,36,65.93,2373.48,Two year,Mailed check,0
209,Male,1,64,88.86,5687.04,Two year,Mailed check,0
210,Male,0,13,64.46,837.98,Two year,Bank transfer,0
211,Male,1,18,53.55,963.9,Month-to-month,Credit card,0
212,Male,1,21,66.65,1399.65,Two year,Electronic check,0
213,Male,0,65,109.51,7118.15,Month-to-month,Credit card,1
214,Male,1,8,58.46,467.68,One year,Mailed check,0
215,Male,0,48,60.37,2897.76,Month-to-month,Credit card,1
216,Female,1,43,80.84,3476.12,Two year,Bank transfer,0
217,Male,0,53,95.3,5050.9,Month-to-month,Credit card,0
218,Female,0,27,93.46,2523.42,One year,Credit card,1
219,Male,1,19,21.98,417.62,Two year,Bank transfer,0
220,Male,1,23,88.74,2041.02,One year,Credit card,1
221,Male,1,50,65.06,3253.0,One year,Bank transfer,0
222,Female,1,51,72.41,3692.91,Two year,Bank transfer,1
223,Female,0,43,76.17,3275.31,Month-to-month,Bank transfer,0
224,Female,0,51,93.17,4751.67,One year,Mailed check,0
225,Female,0,69,103.13,7115.97,Two year,Credit card,0
226,Male,1,41,84.63,3469.83,One year,Bank transfer,1
227,Female,0,11,76.39,840.29,Month-to-month,Electronic check,0
228,Male,1,52,57.38,2983.76,One year,Electronic check,1
229,Male,1,23,33.79,777.17,One year,Mailed check,0
230,Female,0,49,115.86,5677.14,One year,Bank transfer,0
231,Female,1,38,66.18,2514.84,One year,Bank transfer,0
232,Female,0,47,76.62,3601.14,Month-to-month,Mailed check,0
233,Female,1,7,95.11,665.77,Two year,Credit card,0
234,Female,0,66,26.84,1771.44,One year,Bank transfer,0
235,Female,1,62,105.5,6541.0,Month-to-month,Bank transfer,1
236,Female,0,29,99.7,2891.3,One year,Electronic check,0
237,Female,0,38,97.44,3702.72,One year,Bank transfer,0
238,Male,1,33,22.2,732.6,One year,Mailed check,0
239,Female,1,29,72.65,2106.85,Month-to-month,Electronic check,1
240,Female,0,23,25.43,584.89,One year,Mailed check,0
241,Male,1,3,75.09,225.27,One year,Mailed check,0
242,Female,1,45,91.84,4132.8,Two year,Bank transfer,0
243,Male,1,8,32.19,257.52,Month-to-month,Credit card,1
244,Male,0,29,89.49,2595.21,Two year,Bank transfer,1
245,Female,0,2,64.95,129.9,Two year,Credit card,1
246,Male,1,50,101.16,5058.0,Two year,Electronic check,1
247,Male,1,65,73.36,4768.4,Two year,Mailed check,0
248,Male,0,20,53.61,1072.2,One year,Mailed check,0
249,Male,1,52,53.2,2766.4,Two year,Bank transfer,0
250,Female,0,37,109.75,4060.75,Month-to-month,Credit card,0
251,Male,1,27,65.29,1762.83,One year,Mailed check,0
252,Female,1,47,60.58,2847.26,Two year,Mailed check,0
253,Male,1,6,23.99,143.94,Two year,Credit card,0
254,Male,0,60,56.43,3385.8,Month-to-month,Mailed check,0
255,Male,0,45,104.96,4723.2,Month-to-month,Mailed check,0
256,Male,0,44,96.1,4228.4,Two year,Mailed check,0
257,Female,0,18,42.09,757.62,Two year,Credit card,1
258,Female,1,65,61.31,3985.15,Two year,Credit card,0
259,Male,1,25,39.66,991.5,Two year,Electronic check,1
260,Male,0,27,115.42,3116.34,Two year,Mailed check,0
261,Female,1,7,79.81,558.67,Month-to-month,Mailed check,0
262,Male,1,44,95.44,4199.36,Month-to-month,Electronic check,0
263,Male,0,29,91.38,2650.02,One year,Credit card,0
264,Male,1,44,107.37,4724.28,One year,Credit card,1
265,Female,1,36,114.93,4137.48,Month-to-month,Bank transfer,0
266,Female,0,19,23.24,441.56,One year,Credit card,1
267,Female,1,6,117.53,705.18,Two year,Bank transfer,0
268,Male,1,25,107.05,2676.25,One year,Electronic check,0
269,Male,1,31,58.29,1806.99,Two year,Credit card,0
270,Female,0,9,103.71,933.39,Two year,Electronic check,0
271,Female,0,37,93.66,3465.42,One year,Bank transfer,0
272,Female,1,27,99.31,2681.37,One year,Mailed check,0
273,Female,1,13,42.07,546.91,Two year,Mailed check,1
274,Male,1,41,84.86,3479.26,Month-to-month,Electronic check,0
275,Female,0,66,22.59,1490.94,One year,Mailed check,0
276,Male,0,24,104.82,2515.68,One year,Electronic check,1
277,Female,0,44,115.1,5064.4,Month-to-month,Bank transfer,0
278,Male,1,60,86.21,5172.6,One year,Mailed check,0
279,Female,1,9,71.27,641.43,Two year,Bank transfer,0
280,Female,1,2,92.57,185.14,Month-to-month,Credit card,1
281,Female,1,56,52.64,2947.84,Month-to-month,Mailed check,0
282,Female,1,30,82.64,2479.2,Two year,Mailed check,0
283,Male,0,22,91.9,2021.8,Two year,Mailed check,1
284,Female,1,13,34.27,445.51,Two year,Electronic check,1
285,Male,1,71,34.01,2414.71,Month-to-month,Credit card,0
286,Male,1,16,91.61,1465.76,Two year,Credit card,1
287,Male,0,45,63.18,2843.1,One year,Credit card,1
288,Male,1,65,108.92,7079.8,One year,Bank transfer,0
289,Female,0,11,51.19,563.09,Two year,Credit card,0
290,Male,0,70,24.24,1696.8,One year,Electronic check,0
291,Male,0,20,84.99,1699.8,One year,Electronic check,0
292,Male,0,63,88.42,5570.46,Month-to-month,Bank transfer,0
293,Female,0,12,75.36,904.32,Two year,Bank transfer,0
294,Female,1,62,88.33,5476.46,One year,Credit card,1
295,Female,1,42,72.38,3039.96,Two year,Credit card,0
296,Female,0,69,89.26,6158.94,Two year,Electronic check,0
297,Male,0,58,24.39,1414.62,One year,Electronic check,0
298,Male,0,5,56.84,284.2,One year,Credit card,0
299,Female,1,27,41.08,1109.16,Month-to-month,Electronic check,1
300,Male,1,28,29.93,838.04,Month-to-month,Bank transfer,0
301,Male,0,26,43.41,1128.66,Month-to-month,Electronic check,0
302,Male,1,49,39.13,1917.37,One year,Credit card,1
303,Female,1,21,117.31,2463.51,Month-to-month,Bank transfer,0
304,Female,0,1,48.65,48.65,Two year,Electronic check,0
305,Male,0,58,43.1,2499.8,Month-to-month,Bank transfer,0
306,Female,1,55,103.49,5691.95,Month-to-month,Credit card,0
307,Female,1,26,61.91,1609.66,Month-to-month,Electronic check,0
308,Female,1,25,62.15,1553.75,Two year,Credit card,0
309,Female,0,33,64.36,2123.88,Two year,Mailed check,0
310,Female,0,69,61.65,4253.85,One year,Credit card,1
311,Male,0,6,52.66,315.96,Month-to-month,Mailed check,0
312,Female,1,23,48.63,1118.49,Two year,Bank transfer,0
313,Male,1,30,108.2,3246.0,Two year,Bank transfer,0
314,Male,0,54,36.17,1953.18,Two year,Mailed check,0
315,Female,1,11,38.11,419.21,One year,Bank transfer,0
316,Male,0,31,77.17,2392.27,One year,Bank transfer,1
317,Male,1,6,54.37,326.22,One year,Credit card,0
318,Male,0,11,62.15,683.65,Month-to-month,Mailed check,0
319,Female,1,12,100.65,1207.8,Two year,Electronic check,0
320,Female,1,66,110.36,7283.76,One year,Bank transfer,0
321,Male,0,53,99.06,5250.18,One year,Bank transfer,1
322,Female,0,36,43.49,1565.64,Two year,Electronic check,1
323,Female,0,17,118.0,2006.0,Two year,Credit card,0
324,Female,0,28,56.32,1576.96,Month-to-month,Credit card,1
325,Female,0,22,36.91,812.02,Month-to-month,Credit card,0
326,Male,1,7,69.95,489.65,Month-to-month,Electronic check,0
327,Male,0,15,92.53,1387.95,One year,Credit card,1
328,Female,0,11,28.33,311.63,One year,Bank transfer,0
329,Female,0,24,83.43,2002.32,Two year,Credit card,0
330,Male,0,67,105.81,7089.27,Month-to-month,Bank transfer,0
331,Male,0,30,46.18,1385.4,Two year,Electronic check,0
332,Female,1,70,89.31,6251.7,Month-to-month,Credit card,0
333,Male,0,66,59.99,3959.34,Month-to-month,Credit card,1
334,Female,0,61,61.41,3746.01,Month-to-month,Bank transfer,0
335,Female,0,41,48.08,1971.28,Month-to-month,Electronic check,0
336,Male,1,51,82.44,4204.44,Two year,Credit card,0
337,Male,1,44,56.1,2468.4,Two year,Electronic check,0
338,Female,0,13,103.09,1340.17,One year,Bank transfer,1
339,Female,0,12,116.29,1395.48,Month-to-month,Bank transfer,1
340,Male,1,9,113.51,1021.59,Two year,Credit card,1
341,Female,1,48,36.31,1742.88,Month-to-month,Electronic check,0
342,Male,1,49,21.42,1049.58,Month-to-month,Bank transfer,1
343,Female,0,53,63.85,3384.05,One year,Electronic check,0
344,Male,0,56,92.89,5201.84,One year,Mailed check,0
345,Male,1,40,117.75,4710.0,Two year,Mailed check,1
346,Male,0,24,98.34,2360.16,Two year,Credit card,0
347,Female,1,33,78.05,2575.65,One year,Electronic check,0
348,Female,1,23,22.64,520.72,Two year,Electronic check,1
349,Male,1,54,102.55,5537.7,Two year,Bank transfer,1
350,Female,0,53,37.71,1998.63,One year,Electronic check,0
351,Male,1,49,25.56,1252.44,Month-to-month,Electronic check,1
352,Male,1,49,105.04,5146.96,Month-to-month,Bank transfer,1
353,Female,0,60,76.63,4597.8,One year,Credit card,1
354,Female,1,65,32.86,2135.9,Month-to-month,Bank transfer,0
355,Male,0,32,58.65,1876.8,Month-to-month,Mailed check,0
356,Female,1,21,28.55,599.55,One year,Electronic check,1
357,Female,0,18,83.8,1508.4,Two year,Electronic check,0
358,Male,1,60,48.24,2894.4,One year,Credit card,0
359,Male,1,13,106.61,1385.93,One year,Mailed check,0
360,Female,1,24,55.78,1338.72,Month-to-month,Electronic check,0
361,Male,1,30,69.46,2083.8,One year,Bank transfer,1
362,Male,1,2,26.35,52.7,Month-to-month,Electronic check,0
363,Female,0,25,47.56,1189.0,One year,Credit card,0
364,Male,0,50,87.68,4384.0,Two year,Bank transfer,1
365,Male,1,14,93.63,1310.82,Month-to-month,Electronic check,0
366,Female,1,6,44.28,265.68,One year,Credit card,0
367,Female,1,30,70.38,2111.4,Month-to-month,Mailed check,0
368,Male,0,30,101.75,3052.5,One year,Bank transfer,0
369,Male,0,38,57.99,2203.62,One year,Bank transfer,1
370,Female,1,58,33.38,1936.04,One year,Mailed check,0
371,Female,0,41,63.19,2590.79,Month-to-month,Bank transfer,0
372,Female,1,57,80.06,4563.42,Month-to-month,Credit card,1
373,Female,1,36,20.74,746.64,Two year,Mailed check,0
374,Male,1,64,54.86,3511.04,Two year,Electronic check,0
375,Female,0,16,80.74,1291.84,Two year,Credit card,0
376,Female,1,14,115.19,1612.66,Two year,Mailed check,1
377,Male,1,31,60.85,1886.35,One year,Electronic check,0
378,Female,1,66,36.3,2395.8,Month-to-month,Credit card,0
379,Male,0,68,73.42,4992.56,One year,Credit card,0
380,Female,0,65,48.58,3157.7,Month-to-month,Bank transfer,0
381,Female,0,55,41.48,2281.4,Month-to-month,Bank transfer,1
382,Female,1,40,79.04,3161.6,One year,Mailed check,0
383,Male,0,25,111.59,2789.75,One year,Electronic check,1
384,Male,1,25,103.52,2588.0,Month-to-month,Credit card,0
385,Female,0,3,38.23,114.69,Two year,Credit card,1
386,Male,1,69,96.59,6664.71,Two year,Mailed check,1
387,Male,0,26,42.99,1117.74,Month-to-month,Bank transfer,0
388,Male,1,40,49.07,1962.8,One year,Credit card,0
389,Male,0,38,112.01,4256.38,One year,Credit card,1
390,Male,0,38,111.11,4222.18,Month-to-month,Bank transfer,1
391,Male,0,68,36.86,2506.48,One year,Electronic check,0
392,Female,1,7,26.42,184.94,Month-to-month,Electronic check,0
393,Female,0,30,49.31,1479.3,Month-to-month,Bank transfer,1
394,Male,0,19,78.18,1485.42,Month-to-month,Credit card,0
395,Female,0,35,107.69,3769.15,One year,Bank transfer,0
396,Female,0,33,31.88,1052.04,Two year,Electronic check,1
397,Female,1,33,61.5,2029.5,Month-to-month,Mailed check,1
398,Female,0,38,47.17,1792.46,One year,Mailed check,1
399,Male,1,10,21.49,214.9,Two year,Electronic check,0
400,Female,1,57,98.84,5633.88,Month-to-month,Electronic check,1
401,Female,1,28,101.33,2837.24,Two year,Electronic check,0
402,Male,1,38,42.12,1600.56,One year,Bank transfer,0
403,Male,0,16,35.12,561.92,Two year,Mailed check,0
404,Female,1,21,34.46,723.66,Two year,Electronic check,1
405,Female,1,6,66.39,398.34,One year,Credit card,0
406,Female,1,41,44.65,1830.65,Month-to-month,Mailed check,1
407,Female,1,15,71.14,1067.1,One year,Bank transfer,1
408,Female,0,3,58.49,175.47,One year,Credit card,0
409,Female,0,43,41.09,1766.87,Month-to-month,Bank transfer,1
410,Male,1,47,95.12,4470.64,Month-to-month,Electronic check,1
411,Female,1,14,35.04,490.56,One year,Electronic check,0
412,Female,1,66,99.89,6592.74,Month-to-month,Electronic check,0
413,Male,0,29,76.14,2208.06,Month-to-month,Credit card,0
414,Male,0,4,103.2,412.8,One year,Electronic check,0
415,Male,0,26,20.48,532.48,One year,Mailed check,1
416,Male,0,12,94.92,1139.04,One year,Electronic check,0
417,Female,0,2,25.15,50.3,One year,Mailed check,1
418,Female,1,17,115.01,1955.17,Two year,Credit card,1
419,Female,0,35,90.27,3159.45,Two year,Bank transfer,0
420,Female,0,10,52.02,520.2,Month-to-month,Bank transfer,0
421,Female,1,43,51.99,2235.57,Two year,Mailed check,0
422,Female,0,21,106.15,2229.15,Two year,Credit card,0
423,Male,0,15,110.28,1654.2,Two year,Mailed check,0
424,Female,0,35,109.16,3820.6,Month-to-month,Electronic check,0
425,Male,1,60,100.87,6052.2,Two year,Electronic check,0
426,Male,0,44,101.9,4483.6,One year,Electronic check,0
427,Female,1,5,77.28,386.4,One year,Bank transfer,1
428,Male,1,18,22.82,410.76,Month-to-month,Mailed check,0
429,Female,0,21,28.68,602.28,Month-to-month,Credit card,0
430,Male,0,51,84.96,4332.96,Month-to-month,Mailed check,0
431,Female,0,41,60.12,2464.92,Two year,Mailed check,0
432,Male,0,24,76.73,1841.52,Month-to-month,Mailed check,0
433,Female,1,24,43.11,1034.64,Month-to-month,Electronic check,0
434,Female,0,38,84.94,3227.72,Month-to-month,Electronic check,0
435,Female,1,44,44.28,1948.32,One year,Mailed check,0
436,Female,1,57,66.08,3766.56,Month-to-month,Electronic check,0
437,Female,1,59,67.87,4004.33,One year,Bank transfer,0
438,Male,1,34,37.77,1284.18,One year,Electronic check,0
439,Male,1,23,107.62,2475.26,Month-to-month,Bank transfer,1
440,Male,0,43,72.58,3120.94,Month-to-month,Bank transfer,0
441,Female,1,40,106.68,4267.2,Two year,Mailed check,0
442,Male,1,47,46.25,2173.75,Month-to-month,Mailed check,1
443,Female,0,41,37.23,1526.43,Month-to-month,Electronic check,1
444,Female,0,47,21.8,1024.6,Month-to-month,Credit card,1
445,Male,1,20,29.39,587.8,Month-to-month,Mailed check,0
446,Male,1,65,34.75,2258.75,Month-to-month,Bank transfer,0
447,Female,0,68,27.89,1896.52,Month-to-month,Bank transfer,0
448,Male,1,24,109.69,2632.56,Two year,Electronic check,1
449,Female,0,36,111.14,4001.04,Two year,Bank transfer,1
450,Female,0,45,113.74,5118.3,Month-to-month,Mailed check,0
451,Female,1,2,115.99,231.98,Two year,Electronic check,0
452,Female,0,28,69.18,1937.04,One year,Electronic check,0
453,Female,1,26,73.0,1898.0,Two year,Credit card,0
454,Male,1,23,33.08,760.84,One year,Electronic check,1
